trade_date,contract,close,source
2025-12-31,ZQG27,96.9500,yahoo
2025-12-31,ZQG28,96.9500,yahoo
2025-12-31,ZQH27,96.9550,yahoo
2025-12-31,ZQJ27,96.9550,yahoo
2025-12-31,ZQK27,96.9450,yahoo
2025-12-31,ZQM27,96.9250,yahoo
2025-12-31,ZQN27,96.9350,yahoo
2025-12-31,ZQQ27,96.9250,yahoo
2025-12-31,ZQU26,96.8200,yahoo
2025-12-31,ZQU27,96.9250,yahoo
2025-12-31,ZQV26,96.8700,yahoo
2025-12-31,ZQV27,96.9200,yahoo
2025-12-31,ZQX26,96.9100,yahoo
2025-12-31,ZQX27,96.9000,yahoo
2025-12-31,ZQZ26,96.9400,yahoo
2025-12-31,ZQZ27,96.8850,yahoo
2026-01-02,ZQF27,96.9400,yahoo
2026-01-02,ZQF28,96.9500,yahoo
2026-01-02,ZQG27,96.9400,yahoo
2026-01-02,ZQG28,96.9350,yahoo
2026-01-02,ZQH27,96.9450,yahoo
2026-01-02,ZQJ27,96.9400,yahoo
2026-01-02,ZQK27,96.9300,yahoo
2026-01-02,ZQM27,96.9100,yahoo
2026-01-02,ZQN27,96.9200,yahoo
2026-01-02,ZQQ27,96.9100,yahoo
2026-01-02,ZQU26,96.8150,yahoo
2026-01-02,ZQU27,96.9100,yahoo
2026-01-02,ZQV26,96.8650,yahoo
2026-01-02,ZQV27,96.9050,yahoo
2026-01-02,ZQX26,96.9050,yahoo
2026-01-02,ZQX27,96.8850,yahoo
2026-01-02,ZQZ26,96.9300,yahoo
2026-01-02,ZQZ27,96.8700,yahoo
2026-01-05,ZQF27,96.9600,yahoo
2026-01-05,ZQF28,96.9700,yahoo
2026-01-05,ZQG27,96.9600,yahoo
2026-01-05,ZQG28,96.9550,yahoo
2026-01-05,ZQH27,96.9650,yahoo
2026-01-05,ZQJ27,96.9600,yahoo
2026-01-05,ZQK27,96.9500,yahoo
2026-01-05,ZQM27,96.9300,yahoo
2026-01-05,ZQN27,96.9400,yahoo
2026-01-05,ZQQ27,96.9300,yahoo
2026-01-05,ZQU26,96.8250,yahoo
2026-01-05,ZQU27,96.9300,yahoo
2026-01-05,ZQV26,96.8800,yahoo
2026-01-05,ZQV27,96.9250,yahoo
2026-01-05,ZQX26,96.9200,yahoo
2026-01-05,ZQX27,96.9050,yahoo
2026-01-05,ZQZ26,96.9500,yahoo
2026-01-05,ZQZ27,96.8900,yahoo
2026-01-06,ZQF27,96.9350,yahoo
2026-01-06,ZQF28,96.9500,yahoo
2026-01-06,ZQG27,96.9350,yahoo
2026-01-06,ZQG28,96.9350,yahoo
2026-01-06,ZQH27,96.9400,yahoo
2026-01-06,ZQJ27,96.9400,yahoo
2026-01-06,ZQK27,96.9300,yahoo
2026-01-06,ZQM27,96.9100,yahoo
2026-01-06,ZQN27,96.9200,yahoo
2026-01-06,ZQQ27,96.9100,yahoo
2026-01-06,ZQU26,96.7950,yahoo
2026-01-06,ZQU27,96.9100,yahoo
2026-01-06,ZQV26,96.8500,yahoo
2026-01-06,ZQV27,96.9050,yahoo
2026-01-06,ZQX26,96.8900,yahoo
2026-01-06,ZQX27,96.8850,yahoo
2026-01-06,ZQZ26,96.9200,yahoo
2026-01-06,ZQZ27,96.8700,yahoo
2026-01-07,ZQF27,96.9550,yahoo
2026-01-07,ZQF28,96.9750,yahoo
2026-01-07,ZQG27,96.9600,yahoo
2026-01-07,ZQG28,96.9600,yahoo
2026-01-07,ZQH27,96.9650,yahoo
2026-01-07,ZQJ27,96.9650,yahoo
2026-01-07,ZQK27,96.9550,yahoo
2026-01-07,ZQM27,96.9350,yahoo
2026-01-07,ZQN27,96.9450,yahoo
2026-01-07,ZQQ27,96.9350,yahoo
2026-01-07,ZQU26,96.8000,yahoo
2026-01-07,ZQU27,96.9350,yahoo
2026-01-07,ZQV26,96.8550,yahoo
2026-01-07,ZQV27,96.9300,yahoo
2026-01-07,ZQX26,96.9000,yahoo
2026-01-07,ZQX27,96.9100,yahoo
2026-01-07,ZQZ26,96.9400,yahoo
2026-01-07,ZQZ27,96.8950,yahoo
2026-01-08,ZQF27,96.9300,yahoo
2026-01-08,ZQF28,96.9500,yahoo
2026-01-08,ZQG27,96.9350,yahoo
2026-01-08,ZQG28,96.9350,yahoo
2026-01-08,ZQH27,96.9400,yahoo
2026-01-08,ZQJ27,96.9400,yahoo
2026-01-08,ZQK27,96.9300,yahoo
2026-01-08,ZQM27,96.9100,yahoo
2026-01-08,ZQN27,96.9200,yahoo
2026-01-08,ZQQ27,96.9100,yahoo
2026-01-08,ZQU26,96.7850,yahoo
2026-01-08,ZQU27,96.9100,yahoo
2026-01-08,ZQV26,96.8400,yahoo
2026-01-08,ZQV27,96.9050,yahoo
2026-01-08,ZQX26,96.8800,yahoo
2026-01-08,ZQX27,96.8850,yahoo
2026-01-08,ZQZ26,96.9150,yahoo
2026-01-08,ZQZ27,96.8700,yahoo
2026-01-09,ZQF27,96.8700,yahoo
2026-01-09,ZQF28,96.9000,yahoo
2026-01-09,ZQG27,96.8750,yahoo
2026-01-09,ZQG28,96.8850,yahoo
2026-01-09,ZQH27,96.8800,yahoo
2026-01-09,ZQJ27,96.8800,yahoo
2026-01-09,ZQK27,96.8750,yahoo
2026-01-09,ZQM27,96.8700,yahoo
2026-01-09,ZQN27,96.8700,yahoo
2026-01-09,ZQQ27,96.8600,yahoo
2026-01-09,ZQU26,96.7250,yahoo
2026-01-09,ZQU27,96.8600,yahoo
2026-01-09,ZQV26,96.7800,yahoo
2026-01-09,ZQV27,96.8550,yahoo
2026-01-09,ZQX26,96.8200,yahoo
2026-01-09,ZQX27,96.8350,yahoo
2026-01-09,ZQZ26,96.8550,yahoo
2026-01-09,ZQZ27,96.8200,yahoo
2026-01-12,ZQF27,96.8700,yahoo
2026-01-12,ZQF28,96.8950,yahoo
2026-01-12,ZQG27,96.8750,yahoo
2026-01-12,ZQG28,96.8800,yahoo
2026-01-12,ZQH27,96.8800,yahoo
2026-01-12,ZQJ27,96.8750,yahoo
2026-01-12,ZQK27,96.8700,yahoo
2026-01-12,ZQM27,96.8700,yahoo
2026-01-12,ZQN27,96.8650,yahoo
2026-01-12,ZQQ27,96.8550,yahoo
2026-01-12,ZQU26,96.7100,yahoo
2026-01-12,ZQU27,96.8550,yahoo
2026-01-12,ZQV26,96.7700,yahoo
2026-01-12,ZQV27,96.8500,yahoo
2026-01-12,ZQX26,96.8150,yahoo
2026-01-12,ZQX27,96.8300,yahoo
2026-01-12,ZQZ26,96.8550,yahoo
2026-01-12,ZQZ27,96.8150,yahoo
2026-01-13,ZQF27,96.8950,yahoo
2026-01-13,ZQF28,96.9250,yahoo
2026-01-13,ZQG27,96.9000,yahoo
2026-01-13,ZQG28,96.9100,yahoo
2026-01-13,ZQH27,96.9050,yahoo
2026-01-13,ZQJ27,96.9050,yahoo
2026-01-13,ZQK27,96.9000,yahoo
2026-01-13,ZQM27,96.9000,yahoo
2026-01-13,ZQN27,96.8950,yahoo
2026-01-13,ZQQ27,96.8850,yahoo
2026-01-13,ZQU26,96.7250,yahoo
2026-01-13,ZQU27,96.8850,yahoo
2026-01-13,ZQV26,96.7850,yahoo
2026-01-13,ZQV27,96.8800,yahoo
2026-01-13,ZQX26,96.8350,yahoo
2026-01-13,ZQX27,96.8600,yahoo
2026-01-13,ZQZ26,96.8800,yahoo
2026-01-13,ZQZ27,96.8450,yahoo
2026-01-14,ZQF27,96.9100,yahoo
2026-01-14,ZQF28,96.9450,yahoo
2026-01-14,ZQG27,96.9150,yahoo
2026-01-14,ZQG28,96.9300,yahoo
2026-01-14,ZQH27,96.9200,yahoo
2026-01-14,ZQJ27,96.9250,yahoo
2026-01-14,ZQK27,96.9200,yahoo
2026-01-14,ZQM27,96.9200,yahoo
2026-01-14,ZQN27,96.9150,yahoo
2026-01-14,ZQQ27,96.9050,yahoo
2026-01-14,ZQU26,96.7350,yahoo
2026-01-14,ZQU27,96.9050,yahoo
2026-01-14,ZQV26,96.8000,yahoo
2026-01-14,ZQV27,96.9000,yahoo
2026-01-14,ZQX26,96.8500,yahoo
2026-01-14,ZQX27,96.8800,yahoo
2026-01-14,ZQZ26,96.8950,yahoo
2026-01-14,ZQZ27,96.8650,yahoo
2026-01-15,ZQF27,96.8350,yahoo
2026-01-15,ZQF28,96.9200,yahoo
2026-01-15,ZQG27,96.8400,yahoo
2026-01-15,ZQG28,96.9050,yahoo
2026-01-15,ZQH27,96.8450,yahoo
2026-01-15,ZQJ27,96.8500,yahoo
2026-01-15,ZQK27,96.8400,yahoo
2026-01-15,ZQM27,96.8400,yahoo
2026-01-15,ZQN27,96.8400,yahoo
2026-01-15,ZQQ27,96.8300,yahoo
2026-01-15,ZQU26,96.6750,yahoo
2026-01-15,ZQU27,96.8300,yahoo
2026-01-15,ZQV26,96.7350,yahoo
2026-01-15,ZQV27,96.8250,yahoo
2026-01-15,ZQX26,96.7800,yahoo
2026-01-15,ZQX27,96.8050,yahoo
2026-01-15,ZQZ26,96.8200,yahoo
2026-01-15,ZQZ27,96.8400,yahoo
2026-01-16,ZQF27,96.8100,yahoo
2026-01-16,ZQF28,96.8850,yahoo
2026-01-16,ZQG27,96.8100,yahoo
2026-01-16,ZQG28,96.8700,yahoo
2026-01-16,ZQH27,96.8150,yahoo
2026-01-16,ZQJ27,96.8150,yahoo
2026-01-16,ZQK27,96.8050,yahoo
2026-01-16,ZQM27,96.8050,yahoo
2026-01-16,ZQN27,96.8050,yahoo
2026-01-16,ZQQ27,96.7950,yahoo
2026-01-16,ZQU26,96.6650,yahoo
2026-01-16,ZQU27,96.7950,yahoo
2026-01-16,ZQV26,96.7200,yahoo
2026-01-16,ZQV27,96.7900,yahoo
2026-01-16,ZQX26,96.7600,yahoo
2026-01-16,ZQX27,96.7700,yahoo
2026-01-16,ZQZ26,96.7950,yahoo
2026-01-16,ZQZ27,96.8050,yahoo
2026-01-20,ZQF27,96.8250,yahoo
2026-01-20,ZQF28,96.8700,yahoo
2026-01-20,ZQG27,96.8250,yahoo
2026-01-20,ZQG28,96.8550,yahoo
2026-01-20,ZQH27,96.8250,yahoo
2026-01-20,ZQJ27,96.8200,yahoo
2026-01-20,ZQK27,96.8100,yahoo
2026-01-20,ZQM27,96.8100,yahoo
2026-01-20,ZQN27,96.8000,yahoo
2026-01-20,ZQQ27,96.7800,yahoo
2026-01-20,ZQU26,96.6800,yahoo
2026-01-20,ZQU27,96.7800,yahoo
2026-01-20,ZQV26,96.7350,yahoo
2026-01-20,ZQV27,96.7750,yahoo
2026-01-20,ZQX26,96.7750,yahoo
2026-01-20,ZQX27,96.7550,yahoo
2026-01-20,ZQZ26,96.8150,yahoo
2026-01-20,ZQZ27,96.7900,yahoo
2026-01-21,ZQF27,96.8050,yahoo
2026-01-21,ZQF28,96.8500,yahoo
2026-01-21,ZQG27,96.8050,yahoo
2026-01-21,ZQG28,96.8350,yahoo
2026-01-21,ZQH27,96.8050,yahoo
2026-01-21,ZQJ27,96.8000,yahoo
2026-01-21,ZQK27,96.7900,yahoo
2026-01-21,ZQM27,96.7900,yahoo
2026-01-21,ZQN27,96.7800,yahoo
2026-01-21,ZQQ27,96.7600,yahoo
2026-01-21,ZQU26,96.6600,yahoo
2026-01-21,ZQU27,96.7600,yahoo
2026-01-21,ZQV26,96.7150,yahoo
2026-01-21,ZQV27,96.7550,yahoo
2026-01-21,ZQX26,96.7600,yahoo
2026-01-21,ZQX27,96.7350,yahoo
2026-01-21,ZQZ26,96.7950,yahoo
2026-01-21,ZQZ27,96.7700,yahoo
2026-01-22,ZQF27,96.7850,yahoo
2026-01-22,ZQF28,96.8300,yahoo
2026-01-22,ZQG27,96.7850,yahoo
2026-01-22,ZQG28,96.8150,yahoo
2026-01-22,ZQH27,96.7850,yahoo
2026-01-22,ZQJ27,96.7800,yahoo
2026-01-22,ZQK27,96.7700,yahoo
2026-01-22,ZQM27,96.7700,yahoo
2026-01-22,ZQN27,96.7600,yahoo
2026-01-22,ZQQ27,96.7400,yahoo
2026-01-22,ZQU26,96.6450,yahoo
2026-01-22,ZQU27,96.7400,yahoo
2026-01-22,ZQV26,96.7000,yahoo
2026-01-22,ZQV27,96.7350,yahoo
2026-01-22,ZQX26,96.7400,yahoo
2026-01-22,ZQX27,96.7150,yahoo
